2.70 3.35
3.13 3.17
3.38 2.96
3.14 3.47
2.70 2.85
3.38 3.13
3.23 2.53
3.35 3.35
3.10 3.00
3.05 3.26
2.59 2.62
3.44 2.85
2.70 2.59
2.54 2.55
3.09 3.37
3.43 2.97
5.22 5.41
4.96 5.49
4.71 5.04
4.74 4.79
4.63 4.65
5.03 4.59
4.82 5.36
4.89 5.40
4.54 4.94
5.17 5.03
5.34 4.69
4.59 5.36
4.63 5.00
4.54 4.76
4.96 4.62
4.95 5.12
4.52 5.31
5.00 5.03
7.11 6.89
7.19 6.71
6.82 6.87
7.28 7.00
6.78 7.40
6.81 6.86
7.00 6.80
6.91 6.92
6.92 6.94
7.45 7.13
6.56 6.94
6.71 7.26
7.08 7.10
6.63 6.64
6.64 7.11
6.99 6.56
