1.97 2.40
1.84 1.91
2.38 2.28
2.13 2.06
2.23 2.42
1.57 1.72
1.68 2.10
2.19 2.04
2.22 1.54
2.27 2.01
1.74 1.95
1.53 1.56
1.72 2.25
1.69 2.18
1.80 2.05
1.67 1.95
5.22 4.77
5.40 5.06
4.59 5.10
5.24 4.81
4.55 5.26
5.32 5.33
4.96 4.77
4.62 5.11
4.81 5.44
4.86 5.41
4.63 5.08
5.20 4.67
4.82 4.74
4.78 5.50
4.71 4.82
4.55 5.02
5.10 5.20
4.65 4.71
7.67 7.50
8.09 7.85
8.36 8.13
8.08 8.09
7.90 8.41
7.87 8.31
8.24 8.30
8.34 7.66
8.41 7.92
8.39 8.36
8.03 7.77
7.98 7.70
7.88 7.81
7.57 7.65
7.80 8.34
8.12 8.48
